"forecast_date","target","location","type","type_id","value"
"2023-01-09","2 wk flu hosp rate change","US","category","stable",0.438963499631939
"2023-01-09","2 wk flu hosp rate change","US","category","increase",0.0595577978793436
"2023-01-09","2 wk flu hosp rate change","US","category","decrease",0.136263221165139
"2023-01-09","2 wk flu hosp rate change","US","category","large_increase",0
"2023-01-09","2 wk flu hosp rate change","US","category","large_decrease",0.365215481323579
"2023-01-09","2 wk flu hosp rate change","02","category","stable",0.698486430784633
"2023-01-09","2 wk flu hosp rate change","02","category","increase",0.159050615468168
"2023-01-09","2 wk flu hosp rate change","02","category","decrease",0.101341921562909
"2023-01-09","2 wk flu hosp rate change","02","category","large_increase",0.0411210321842899
"2023-01-09","2 wk flu hosp rate change","02","category","large_decrease",0
"2023-01-09","2 wk flu hosp rate change","01","category","stable",0.787594433629444
"2023-01-09","2 wk flu hosp rate change","01","category","increase",0.0571468181768734
"2023-01-09","2 wk flu hosp rate change","01","category","decrease",0.136944759247923
"2023-01-09","2 wk flu hosp rate change","01","category","large_increase",0
"2023-01-09","2 wk flu hosp rate change","01","category","large_decrease",0.0183139889457594
"2023-01-09","2 wk flu hosp rate change","05","category","stable",0.383897557015712
"2023-01-09","2 wk flu hosp rate change","05","category","increase",0.0685104276179218
"2023-01-09","2 wk flu hosp rate change","05","category","decrease",0.0272406463809867
"2023-01-09","2 wk flu hosp rate change","05","category","large_increase",0.0100055101449041
"2023-01-09","2 wk flu hosp rate change","05","category","large_decrease",0.510345858840475
"2023-01-09","2 wk flu hosp rate change","04","category","stable",0.265248655424462
"2023-01-09","2 wk flu hosp rate change","04","category","increase",0.104374025558674
"2023-01-09","2 wk flu hosp rate change","04","category","decrease",0.0963657070012278
"2023-01-09","2 wk flu hosp rate change","04","category","large_increase",0.152268692072061
"2023-01-09","2 wk flu hosp rate change","04","category","large_decrease",0.381742919943576
"2023-01-09","2 wk flu hosp rate change","06","category","stable",0.502363869275818
"2023-01-09","2 wk flu hosp rate change","06","category","increase",-0.000369256692265618
"2023-01-09","2 wk flu hosp rate change","06","category","decrease",0.280685501732135
"2023-01-09","2 wk flu hosp rate change","06","category","large_increase",0.0104879809224073
"2023-01-09","2 wk flu hosp rate change","06","category","large_decrease",0.206831904761905
"2023-01-09","2 wk flu hosp rate change","08","category","stable",0.386186424574948
"2023-01-09","2 wk flu hosp rate change","08","category","increase",0.0888532061068702
"2023-01-09","2 wk flu hosp rate change","08","category","decrease",0.524960369318182
"2023-01-09","2 wk flu hosp rate change","08","category","large_increase",0
"2023-01-09","2 wk flu hosp rate change","08","category","large_decrease",0
"2023-01-09","2 wk flu hosp rate change","09","category","stable",0.366260295273648
"2023-01-09","2 wk flu hosp rate change","09","category","increase",0.086596209172992
"2023-01-09","2 wk flu hosp rate change","09","category","decrease",0.238367452094474
"2023-01-09","2 wk flu hosp rate change","09","category","large_increase",0.0196774160079052
"2023-01-09","2 wk flu hosp rate change","09","category","large_decrease",0.28909862745098
"2023-01-09","2 wk flu hosp rate change","11","category","stable",0.917489397580058
"2023-01-09","2 wk flu hosp rate change","11","category","increase",0.0725054902220428
"2023-01-09","2 wk flu hosp rate change","11","category","decrease",0
"2023-01-09","2 wk flu hosp rate change","11","category","large_increase",0.0100051121978991
"2023-01-09","2 wk flu hosp rate change","11","category","large_decrease",0
"2023-01-09","2 wk flu hosp rate change","10","category","stable",0.509726021226846
"2023-01-09","2 wk flu hosp rate change","10","category","increase",0.146762858459596
"2023-01-09","2 wk flu hosp rate change","10","category","decrease",0.145355041385784
"2023-01-09","2 wk flu hosp rate change","10","category","large_increase",0.198156078927774
"2023-01-09","2 wk flu hosp rate change","10","category","large_decrease",0
"2023-01-09","2 wk flu hosp rate change","12","category","stable",0.439994613087775
"2023-01-09","2 wk flu hosp rate change","12","category","increase",0.0415787061212649
"2023-01-09","2 wk flu hosp rate change","12","category","decrease",0.0500668213610502
"2023-01-09","2 wk flu hosp rate change","12","category","large_increase",0
"2023-01-09","2 wk flu hosp rate change","12","category","large_decrease",0.46835985942991
"2023-01-09","2 wk flu hosp rate change","13","category","stable",0.953713626991841
"2023-01-09","2 wk flu hosp rate change","13","category","increase",0.0462863730081593
"2023-01-09","2 wk flu hosp rate change","13","category","decrease",0
"2023-01-09","2 wk flu hosp rate change","13","category","large_increase",0
