"forecast_date","target","target_end_date","location","type","quantile","value"
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","point","NA",43.7905919025146
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.010",0
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.025",0
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.050",0
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.100",0
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.150",0
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.200",0
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.250",0
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.300",0
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.350",0
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.400",0
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.450",0
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.500",23.2730876948168
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.550",236.294284130651
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.600",250.761303482775
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.650",266.363088208968
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.700",283.454439173003
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.750",302.57168023835
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.800",324.589869104929
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.850",351.101861947246
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.900",385.55877288801
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.950",438.440204384636
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.975",485.670907068533
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"06","quantile","0.990",541.793962501454
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","point","NA",24.7784760653673
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.010",0
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.025",0
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.050",0
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.100",0
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.150",0
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.200",0
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.250",0
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.300",0
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.350",0
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.400",0
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.450",0
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.500",0
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.550",288.318114746481
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.600",308.777569686264
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.650",330.841825205413
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.700",355.012645496557
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.750",382.048507039937
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.800",413.186928300516
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.850",450.680548079328
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.900",499.409978765626
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.950",574.195616257538
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.975",640.989916438908
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"06","quantile","0.990",727.080147323313
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","point","NA",65.1465516187564
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.010",0
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.025",0
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.050",0
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.100",0
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.150",0
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.200",0
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.250",0
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.300",0
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.350",0
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.400",0
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.450",0
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.500",0
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.550",328.13136920072
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.600",353.189817154163
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.650",380.213801917459
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.700",409.817877101296
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.750",454.240586901954
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.800",512.867705038574
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.850",583.460329428452
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.900",675.207629834866
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.950",816.013304196765
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.975",941.772966024693
2023-01-30,"3 wk ahead inc flu hosp",2023-02-18,"06","quantile","0.990",1091.2100074177
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","point","NA",96.6922809637507
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.010",0
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.025",0
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.050",0
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.100",0
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.150",0
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.200",0
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.250",0
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.300",0
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.350",0
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.400",0
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.450",0
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.500",0
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.550",382.219640270128
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.600",416.774026651383
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.650",473.35197104364
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.700",535.331643331282
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.750",604.657955731472
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.800",684.504196861831
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.850",780.646662809484
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.900",905.600392485207
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.950",1097.36836923316
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.975",1268.64467620403
2023-01-30,"4 wk ahead inc flu hosp",2023-02-25,"06","quantile","0.990",1472.1680015885
