forecast_date,target,target_end_date,location,type,quantile,value
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.01,2.553
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.025,4.878
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.05,6.56
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.1,7.588
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.15,8.423
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.2,9.635
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.25,10.347
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.3,11.01
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.35,11.782
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.4,12.196
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.45,12.668
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.5,13.259
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.55,13.83
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.6,14.552
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.65,15.389
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.7,15.94
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.75,16.449
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.8,17.493
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.85,18.385
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.9,19.395
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.95,19.873
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.975,21.299
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,quantile,0.99,23.308
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,01,point,NA,13.259
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.01,0.102
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.025,0.874
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.05,1.358
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.1,3.946
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.15,6.041
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.2,7.254
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.25,8.25
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.3,8.582
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.35,9.467
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.4,10.94
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.45,11.796
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.5,12.618
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.55,13.149
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.6,13.799
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.65,14.956
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.7,16.012
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.75,17.059
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.8,18.748
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.85,19.172
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.9,20.568
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.95,21.881
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.975,22.769
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,quantile,0.99,23.664
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,01,point,NA,12.618
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.01,0
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.025,0
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.05,0.095
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.1,2.84
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.15,3.699
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.2,6.374
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.25,7.718
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.3,8.154
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.35,8.948
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.4,10.436
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.45,11.428
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.5,12.322
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.55,13.301
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.6,14.352
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.65,15.954
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.7,17.863
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.75,18.852
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.8,19.455
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.85,20.672
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.9,21.515
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.95,23.923
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.975,26.856
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,quantile,0.99,28.803
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,01,point,NA,12.322
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.01,0
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.025,0
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.05,0
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.1,0
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.15,3.03
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.2,4.707
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.25,6.331
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.3,8.483
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.35,9.231
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.4,10.156
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.45,11.292
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.5,11.844
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.55,13.148
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.6,14.408
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.65,15.79
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.7,17.498
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.75,18.724
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.8,19.877
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.85,20.947
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.9,23.403
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.95,25.566
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.975,26.494
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,quantile,0.99,30.218
2023-03-13,4 wk ahead inc flu hosp,2023-04-08,01,point,NA,11.844
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.01,0
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.025,0
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.05,0.988
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.1,4.637
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.15,5.794
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.2,7.657
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.25,10.345
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.3,11.577
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.35,13.018
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.4,14.151
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.45,14.779
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.5,16.07
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.55,17.269
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.6,18.788
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.65,19.782
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.7,20.548
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.75,23.627
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.8,25.263
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.85,26.157
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.9,28.083
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.95,30.101
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.975,35.205
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,quantile,0.99,38.473
2023-03-13,1 wk ahead inc flu hosp,2023-03-18,05,point,NA,16.07
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.01,0
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.025,0
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.05,0
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.1,0
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.15,2.193
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.2,6.545
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.25,8.492
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.3,8.814
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.35,10.527
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.4,12.523
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.45,13.629
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.5,15.091
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.55,17.723
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.6,18.76
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.65,21.306
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.7,23.402
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.75,24.958
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.8,25.786
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.85,29.188
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.9,32.654
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.95,36.663
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.975,42.26
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,quantile,0.99,48.146
2023-03-13,2 wk ahead inc flu hosp,2023-03-25,05,point,NA,15.091
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.01,0
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.025,0
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.05,0
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.1,0
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.15,0
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.2,1.903
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.25,4.866
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.3,8.121
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.35,9.5
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.4,12.335
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.45,13.157
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.5,14.366
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.55,18.328
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.6,22.121
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.65,23.321
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.7,25.052
2023-03-13,3 wk ahead inc flu hosp,2023-04-01,05,quantile,0.75,26.92
