forecast_date,target,target_end_date,location,type,quantile,value
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,point,NA,103.09
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.010,66.59
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.025,71.93
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.050,77.24
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.100,82.28
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.150,86.36
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.200,89.66
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.250,92.45
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.300,95.16
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.350,96.82
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.400,99.37
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.450,101.52
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.500,102.89
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.550,104.73
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.600,107
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.650,108.83
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.700,110.47
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.750,113.24
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.800,116.1
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.850,118.4
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.900,123
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.950,127.11
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.975,131.07
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,01,quantile,0.990,137.18
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,point,NA,107.65
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.010,49.72
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.025,56.37
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.050,64.77
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.100,73.97
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.150,80.6
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.200,84.78
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.250,89.58
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.300,93.3
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.350,97.25
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.400,100.92
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.450,104.49
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.500,107.59
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.550,110.32
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.600,112.61
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.650,115.1
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.700,118.93
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.750,122.9
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.800,125.94
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.850,130.99
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.900,136.12
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.950,145.23
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.975,152.45
2022-10-24,2 wk ahead inc flu hosp,2022-11-05,01,quantile,0.990,162.29
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,point,NA,108.16
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.010,40.63
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.025,48.24
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.050,56.73
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.100,66.85
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.150,74.22
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.200,80.42
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.250,85.99
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.300,91.1
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.350,96.31
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.400,99.77
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.450,103.32
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.500,108.21
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.550,111.12
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.600,114.29
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.650,118.31
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.700,122.09
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.750,127.8
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.800,131.99
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.850,138.71
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.900,146.74
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.950,158.84
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.975,166.67
2022-10-24,3 wk ahead inc flu hosp,2022-11-12,01,quantile,0.990,174.01
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,point,NA,109.45
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.010,38.54
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.025,44.3
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.050,49.99
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.100,59.89
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.150,71.78
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.200,78.11
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.250,85.48
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.300,89.79
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.350,96.78
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.400,101.49
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.450,106.43
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.500,109.27
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.550,113.21
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.600,118.71
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.650,122.01
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.700,126.24
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.750,131.51
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.800,136.49
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.850,146.22
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.900,156.89
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.950,166.64
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.975,178.49
2022-10-24,4 wk ahead inc flu hosp,2022-11-19,01,quantile,0.990,191.9
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,02,point,NA,6.46
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,02,quantile,0.010,0.85
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,02,quantile,0.025,1.17
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,02,quantile,0.050,1.58
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,02,quantile,0.100,2.39
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,02,quantile,0.150,2.96
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,02,quantile,0.200,3.57
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,02,quantile,0.250,4.09
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,02,quantile,0.300,4.49
2022-10-24,1 wk ahead inc flu hosp,2022-10-29,02,quantile,0.350,4.88
