"forecast_date","target","target_end_date","location","type","quantile","value"
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.01,7.59363823940023
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.025,11.8830712938932
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.05,14.2605809819395
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.1,17.9408423773139
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.15,21.0175040458916
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.2,24.9102571141593
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.25,26.2935613441467
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.3,27.22707862854
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.35,28.5
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.4,30.5
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.45,32.095
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.5,34
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.55,36.16
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.6,38.2
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.65,39.7074835550287
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.7,42.2
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.75,45
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.8,48.251
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.85,53.693
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.9,59.614
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.95,68
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.975,74.5
2023-01-30,"1 wk ahead inc flu hosp",2023-02-04,"01","quantile",0.99,83.5
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"01","quantile",0.01,4.86
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"01","quantile",0.025,6.22
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"01","quantile",0.05,9.5
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"01","quantile",0.1,12.5
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"01","quantile",0.15,15.1329768778285
2023-01-30,"2 wk ahead inc flu hosp",2023-02-11,"01","quantile",0.2,17.9184198902473
