"forecast_date","target","target_end_date","location","type","quantile","value"
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.01,2607.8115
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.025,2613.7625
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.05,2624.1125
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.1,2630.6625
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.15,2633.8125
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.2,2637.375
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.25,2641.875
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.3,2646.15
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.35,2649.4125
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.4,2652.4375
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.45,2653.6625
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.5,2654
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.55,2654.3375
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.6,2656
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.65,2661.15
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.7,2666.1375
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.75,2667.4125
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.8,2667.8625
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.85,2668
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.9,2668
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.95,2669.7
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.975,2673.3
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","quantile",0.99,2675.37
2022-06-20,"1 wk ahead inc flu hosp","2022-06-25","US","point",NA,2651
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.01,3279.4375
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.025,3292.375
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.05,3314.875
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.1,3332.15
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.15,3344.75
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.2,3353.6375
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.25,3354.0875
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.3,3355.5875
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.35,3361.8125
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.4,3368.2875
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.45,3370.825
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.5,3371.5
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.55,3372.175
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.6,3373.6625
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.65,3375.0375
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.7,3377.3625
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.75,3388.4625
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.8,3401.5125
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.85,3406.4375
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.9,3407.7875
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.95,3418.9125
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.975,3440.9625
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","quantile",0.99,3453.6415
2022-06-20,"2 wk ahead inc flu hosp","2022-07-02","US","point",NA,3384.5
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.01,3277.63
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.025,3279.7
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.05,3283.3
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.1,3286.425
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.15,3289.125
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.2,3291.825
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.25,3294.525
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.3,3298.2
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.35,3306.2625
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.4,3314.4375
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.45,3317.325
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.5,3318
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.55,3318.675
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.6,3322.0875
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.65,3332.8125
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.7,3344.4
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.75,3359.025
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.8,3374.325
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.85,3389.9375
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.9,3405.6875
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.95,3414.6375
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.975,3415.9875
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","quantile",0.99,3416.7635
2022-06-20,"3 wk ahead inc flu hosp","2022-07-09","US","point",NA,3320
2022-06-20,"4 wk ahead inc flu hosp","2022-07-16","US","quantile",0.01,3743.9685
2022-06-20,"4 wk ahead inc flu hosp","2022-07-16","US","quantile",0.025,3750.4375
2022-06-20,"4 wk ahead inc flu hosp","2022-07-16","US","quantile",0.05,3761.6875
2022-06-20,"4 wk ahead inc flu hosp","2022-07-16","US","quantile",0.1,3771.275
