forecast_date,target,target_end_date,location,type,quantile,value
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,point,NA,2475.43
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.0100,1262.5857
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.0250,1469.6619
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.0500,1638.3577
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.1000,1821.9542
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.1500,1950.9889
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.2000,2031.5618
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.2500,2131.0098
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.3000,2197.3724
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.3500,2270.5762
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.4000,2333.6389
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.4500,2398.0252
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.5000,2463.9715
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.5500,2534.3961
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.6000,2611.2083
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.6500,2676.3771
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.7000,2750.3891
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.7500,2822.7366
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.8000,2897.6037
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.8500,2998.2840
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.9000,3126.9059
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.9500,3359.4368
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.9750,3521.7555
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,US,quantile,0.9900,3701.3887
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,point,NA,2211.07
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.0100,826.9513
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.0250,1031.9856
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.0500,1226.1752
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.1000,1446.7458
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.1500,1571.1525
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.2000,1692.4287
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.2500,1790.9046
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.3000,1882.0058
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.3500,1971.6098
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.4000,2057.1691
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.4500,2142.1220
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.5000,2215.4961
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.5500,2292.4695
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.6000,2375.8027
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.6500,2459.7742
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.7000,2540.2709
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.7500,2622.7160
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.8000,2714.1945
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.8500,2830.5758
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.9000,2972.3163
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.9500,3206.8031
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.9750,3407.4986
2022-06-13,2 wk ahead inc flu hosp,2022-06-25,US,quantile,0.9900,3611.8036
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,point,NA,1867.85
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.0100,84.4693
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.0250,363.2277
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.0500,598.0972
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.1000,867.2625
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.1500,1040.5958
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.2000,1194.8496
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.2500,1342.3658
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.3000,1453.9128
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.3500,1569.5249
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.4000,1662.2692
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.4500,1754.9155
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.5000,1864.8385
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.5500,1956.2738
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.6000,2063.0669
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.6500,2166.6466
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.7000,2294.8604
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.7500,2414.9125
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.8000,2539.6691
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.8500,2679.3026
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.9000,2841.0976
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.9500,3165.9331
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.9750,3389.2264
2022-06-13,3 wk ahead inc flu hosp,2022-07-02,US,quantile,0.9900,3642.1363
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,point,NA,1487.72
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.0100,0.0000
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.0250,0.0000
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.0500,0.0000
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.1000,313.7901
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.1500,548.2333
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.2000,703.1040
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.2500,826.4660
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.3000,952.0170
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.3500,1081.3902
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.4000,1208.8520
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.4500,1332.6813
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.5000,1456.4780
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.5500,1579.0274
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.6000,1691.9078
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.6500,1833.9974
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.7000,1956.9889
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.7500,2116.5624
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.8000,2265.5657
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.8500,2443.2721
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.9000,2686.9798
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.9500,2941.9838
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.9750,3200.2415
2022-06-13,4 wk ahead inc flu hosp,2022-07-09,US,quantile,0.9900,3545.0067
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,point,NA,21.48
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.0100,10.9736
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.0250,12.5487
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.0500,13.9118
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.1000,15.4630
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.1500,16.5536
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.2000,17.4303
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.2500,18.3139
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.3000,19.0975
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.3500,19.7203
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.4000,20.3533
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.4500,20.8107
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.5000,21.4358
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.5500,21.9879
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.6000,22.6238
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.6500,23.3948
2022-06-13,1 wk ahead inc flu hosp,2022-06-18,01,quantile,0.7000,24.0365
