forecast_date,target_end_date,target,location,type,quantile,value
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.01,0.11055794050269238
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.025,0.1887084513658714
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.05,0.24877512939945373
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.1,0.3869043799982702
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.15,0.5464694856138792
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.2,0.6638344234543241
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.25,0.8377125127608922
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.3,0.9837167329492138
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.35,1.11859090053525
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.4,1.2348940426224675
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.45,1.4305636310335195
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.5,1.6898972655321232
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.55,1.8362405514145261
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.6,2.0853827733498695
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.65,2.357847810014286
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.7,2.6553684484462323
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.75,3.0384458980702633
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.8,3.3876556217497207
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.85,3.979510132416422
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.9,4.571003655263384
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.95,6.054814951768321
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.975,7.802696184631548
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,02,quantile,0.99,9.19994620439301
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,01,quantile,0.01,4.199432970563
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,01,quantile,0.025,5.429819083577675
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,01,quantile,0.05,7.56060835703417
2023-03-06,2023-03-11,1 wk ahead inc flu hosp,01,quantile,0.1,9.294498387391721
