forecast_date,target_end_date,location,target,quantile,value,type
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.01,24.207575599644546,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.025,25.90451812443224,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.05,27.290083277281102,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.1,28.6790989908989,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.15,29.714379094521572,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.2,30.604620741880623,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.25,31.285867881320655,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.3,31.954459040021053,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.35,32.51999606162017,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.4,33.062292584013676,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.45,33.61921102579223,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.5,34.13587590416512,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.55,34.741958200798834,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.6,35.268875825586235,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.65,35.94412270469709,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.7,36.472037188148875,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.75,37.16974190110676,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.8,37.97737824584661,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.85,38.84627903742345,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.9,39.93112790302192,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.95,41.89409198692368,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.975,43.549445414809874,quantile
2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.99,45.213363580534825,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.01,-2.2739336988169363,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.025,-0.9619115724339042,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.05,0.05819495238945614,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.1,1.2058082495747109,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.15,1.9932892820534642,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.2,2.5499038383086563,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.25,3.015118465851294,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.3,3.400332687130407,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.35,3.8182962001021297,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.4,4.207526289724955,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.45,4.589636000598884,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.5,4.942496999264753,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.55,5.291044706007959,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.6,5.701986647592736,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.65,6.04899639859404,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.7,6.5264236026952265,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.75,6.979854595838503,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.8,7.5697885600967405,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.85,8.17701150353739,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.9,9.00591558291491,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.95,10.135982742293143,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.975,11.328258675471593,quantile
2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.99,12.646343502041741,quantile
2022-01-10,2022-01-15,25,1 wk ahead inc flu hosp,0.01,60.88611541661628,quantile
2022-01-10,2022-01-15,25,1 wk ahead inc flu hosp,0.025,63.315809992883196,quantile
2022-01-10,2022-01-15,25,1 wk ahead inc flu hosp,0.05,65.65614024887287,quantile
2022-01-10,2022-01-15,25,1 wk ahead inc flu hosp,0.1,68.2925927317084,quantile
