forecast_date,target_end_date,location,target,quantile,value,type
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.01,17.67046963731192,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.025,21.327577432856486,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.05,24.364078129921342,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.1,27.70632879534914,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.15,29.835602747786563,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.2,31.680075123953,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.25,33.24272738889399,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.3,34.6176739674767,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.35,35.824569567516285,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.4,37.04961870705435,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.45,38.209373906166746,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.5,39.42965258689847,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.55,40.571860538685655,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.6,41.56648642320042,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.65,42.78438405514807,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.7,44.047558690228136,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.75,45.351921131252425,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.8,46.86694902318731,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.85,48.58597822094298,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.9,50.79280062217961,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.95,54.17103316367112,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.975,56.73527629733975,quantile
2022-05-30,2022-06-04,09,1 wk ahead inc flu hosp,0.99,60.03492565442768,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.01,0.0,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.025,0.0,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.05,0.0,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.1,0.0,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.15,0.0,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.2,3.3475380897044955,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.25,6.687137668870008,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.3,9.447974106516542,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.35,12.031911056042112,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.4,14.356206397198427,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.45,16.722065930531613,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.5,19.155256401107565,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.55,21.353211944653665,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.6,23.469897332483946,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.65,26.06338546486692,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.7,28.488232230452592,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.75,30.97994881442373,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.8,34.10054141021163,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.85,37.76141223712057,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.9,42.288517090107874,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.95,48.58949459407832,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.975,54.49849227793101,quantile
2022-05-30,2022-06-11,09,2 wk ahead inc flu hosp,0.99,61.70930299923297,quantile
2022-05-30,2022-06-18,09,3 wk ahead inc flu hosp,0.01,0.0,quantile
2022-05-30,2022-06-18,09,3 wk ahead inc flu hosp,0.025,0.0,quantile
