forecast_date,target_end_date,location,target,quantile,value,type
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.01,24.3283832778656,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.025,26.25649314865243,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.05,27.68390084171792,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.1,29.340637550232653,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.15,30.49093076066297,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.2,31.420998637975156,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.25,32.214621426619345,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.3,32.91250613780987,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.35,33.59768904190951,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.4,34.221865156041325,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.45,34.86113771600054,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.5,35.45218680646513,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.55,36.02393581718555,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.6,36.61020032736575,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.65,37.20697929798733,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.7,37.82124802077527,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.75,38.56217117622695,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.8,39.38472174294089,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.85,40.311767330756,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.9,41.47366836963787,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.95,43.2055275630438,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.975,44.86249329129737,quantile
2022-04-18,2022-04-23,09,1 wk ahead inc flu hosp,0.99,46.91208739153007,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.01,23.41554230503136,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.025,25.97899958332111,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.05,28.54373262996601,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.1,31.29373557828736,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.15,33.097175787012866,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.2,34.55053898419761,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.25,35.81567635401008,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.3,36.93504195037317,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.35,38.011105088871005,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.4,39.06738921305448,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.45,40.1191032931883,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.5,41.10007295324513,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.55,42.17622143156997,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.6,43.22807262735834,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.65,44.29175974079687,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.7,45.41818170553017,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.75,46.62813392580763,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.8,48.0647483100596,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.85,49.74125648243297,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.9,51.65158636698918,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.95,54.68777947748415,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.975,57.65849597528862,quantile
2022-04-18,2022-04-30,09,2 wk ahead inc flu hosp,0.99,60.72878480471656,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.01,22.194936608798574,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.025,25.772498506509223,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.05,29.15191497404164,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.1,33.12296338353019,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.15,35.71877086226625,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.2,37.9292287754771,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.25,39.76918052245366,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.3,41.54108320498476,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.35,43.17388664879406,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.4,44.67339169418926,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.45,46.21731763218813,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.5,47.770588234507954,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.55,49.35407690455645,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.6,51.00593912137183,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.65,52.70239929438958,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.7,54.46899058414524,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.75,56.4496161646716,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.8,58.74180028621362,quantile
2022-04-18,2022-05-07,09,3 wk ahead inc flu hosp,0.85,61.31828663255626,quantile
