"forecast_date","target","target_end_date","location","type","quantile","value"
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.01,1135.3652260228
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.025,1386.36076339107
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.05,1594.56349355006
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.1,1808.94834211153
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.15,1906.41617172697
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.2,1962.02973356055
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.25,2008.52824128091
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.3,2050.44541840844
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.35,2095.84301257939
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.4,2147.05036983651
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.45,2213.29391083741
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.5,2302.16611350461
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.55,2403.54112356255
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.6,2496.09437307832
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.65,2578.34919268104
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.7,2652.57286919406
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.75,2722.80520276158
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.8,2792.61162305632
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.85,2871.33161753286
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.9,2975.51714511536
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.95,3277.12495133567
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.975,3277.12495133567
2022-12-12,"1 wk ahead inc flu hosp",2022-12-17,"48","quantile",0.99,3277.12495133567
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.01,946.593148271565
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.025,1296.40836863985
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.05,1539.25549226437
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.1,1809.83334855343
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.15,1935.375443488
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.2,2005.19554385013
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.25,2052.69697236337
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.3,2093.3985876246
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.35,2130.92435140912
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.4,2168.78619791759
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.45,2214.96500630531
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.5,2274.19198763192
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.55,2358.24219526704
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.6,2453.35100085249
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.65,2545.25269145203
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.7,2653.25248399954
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.75,2751.83414439915
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.8,2843.76883536952
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.85,2954.41386816807
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.9,3108.93376241211
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.95,3649.94097332151
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.975,3649.94097332151
2022-12-12,"2 wk ahead inc flu hosp",2022-12-24,"48","quantile",0.99,3649.94097332151
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.01,988.896487750541
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.025,1341.72274964021
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.05,1580.15104021192
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.1,1821.59635930375
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.15,1930.98850314507
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.2,1988.48632122458
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.25,2033.41267455987
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.3,2074.62591974025
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.35,2115.60953040195
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.4,2156.61466929977
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.45,2210.56237872648
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.5,2287.99944407624
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.55,2419.64153253213
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.6,2594.223225675
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.65,2780.01497891556
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.7,2987.71017468446
2022-12-12,"3 wk ahead inc flu hosp",2022-12-31,"48","quantile",0.75,3178.7794212385
