target,target_end_date,quantile,value,location,type,forecast_date
1 wk ahead inc flu hosp,2023-01-14,0.01,981.471,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.025,1021.71,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.05,1053.881,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.1,1096.256,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.15,1117.737,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.2,1141.054,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.25,1160.38,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.3,1178.861,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.35,1193.633,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.4,1208.331,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.45,1227.658,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.5,1242.084,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.55,1255.252,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.6,1273.542,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.65,1291.542,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.7,1308.154,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.75,1329.416,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.8,1349.536,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.85,1373.876,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.9,1416.249,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.95,1461.112,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.975,1510.906,48,quantile,2023-01-09
1 wk ahead inc flu hosp,2023-01-14,0.99,1579.773,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.01,891.674,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.025,939.452,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.05,976.182,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.1,1029.311,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.15,1061.448,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.2,1084.999,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.25,1107.082,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.3,1127.816,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.35,1152.413,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.4,1171.412,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.45,1190.532,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.5,1214.562,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.55,1238.628,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.6,1257.957,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.65,1281.774,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.7,1304.674,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.75,1327.619,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.8,1352.172,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.85,1392.271,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.9,1440.232,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.95,1518.649,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.975,1572.702,48,quantile,2023-01-09
2 wk ahead inc flu hosp,2023-01-21,0.99,1664.477,48,quantile,2023-01-09
3 wk ahead inc flu hosp,2023-01-28,0.01,795.543,48,quantile,2023-01-09
3 wk ahead inc flu hosp,2023-01-28,0.025,851.533,48,quantile,2023-01-09
3 wk ahead inc flu hosp,2023-01-28,0.05,902.655,48,quantile,2023-01-09
3 wk ahead inc flu hosp,2023-01-28,0.1,959.621,48,quantile,2023-01-09
3 wk ahead inc flu hosp,2023-01-28,0.15,996.672,48,quantile,2023-01-09
3 wk ahead inc flu hosp,2023-01-28,0.2,1024.959,48,quantile,2023-01-09
3 wk ahead inc flu hosp,2023-01-28,0.25,1055.342,48,quantile,2023-01-09
3 wk ahead inc flu hosp,2023-01-28,0.3,1079.421,48,quantile,2023-01-09
