"forecast_date","target","target_end_date","location","type","quantile","value"
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.01,0
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.025,0
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.05,0
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.1,0
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.15,0
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.2,2.18145398745765
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.25,2.18145398745765
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.3,2.18145398745765
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.35,2.18145398745765
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.4,2.18145398745765
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.45,3.90177681642034
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.5,3.90177681642034
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.55,3.90177681642034
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.6,3.90177681642034
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.65,3.90177681642034
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.7,3.9032097769403
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.75,3.9032097769403
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.8,3.9032097769403
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.85,5.21244435546634
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.9,5.21244435546634
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.95,6.56804036545675
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.975,6.57369929596179
2023-02-27,"1 wk ahead inc flu hosp",2023-03-04,"11","quantile",0.99,6.57369929596179
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.01,0
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.025,0
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.05,0
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.1,0
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.15,0
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.2,0
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.25,3.59089595843095
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.3,3.59089595843095
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.35,3.59089595843095
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.4,3.59089595843095
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.45,3.59089595843095
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.5,3.59089595843095
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.55,3.59089595843095
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.6,3.59338274938006
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.65,3.59338274938006
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.7,3.59338274938006
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.75,3.59338274938006
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.8,5.73893564774106
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.85,5.73893564774106
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.9,5.73893564774106
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.95,7.09453165773147
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.975,7.1001905882365
2023-02-27,"2 wk ahead inc flu hosp",2023-03-11,"11","quantile",0.99,8.18782740264722
2023-02-27,"3 wk ahead inc flu hosp",2023-03-18,"11","quantile",0.01,0
2023-02-27,"3 wk ahead inc flu hosp",2023-03-18,"11","quantile",0.025,0
