forecast_date,target,target_end_date,location,type,quantile,value
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.01,0.0
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.025,0.0
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.05,0.0
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.10,0.0
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.15,0.0
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.20,0.9
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.25,1.1
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.30,1.4
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.35,1.6
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.40,2.2
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.45,2.6
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.50,3.0
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,point,NA,3.0
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.55,3.2
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.60,3.579999999999999
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.65,4.0
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.70,4.4
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.75,4.800000000000001
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.80,5.2
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.85,5.6000000000000005
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.90,6.4
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.95,8.0
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.975,10.8
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,02,quantile,0.99,13.292999999999996
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.01,0.0
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.025,0.0
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.05,0.0
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.10,0.0
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.15,1.0
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.20,1.3600000000000003
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.25,1.5
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.30,1.6
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.35,2.0
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.40,2.4
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.45,2.870000000000001
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.50,3.2
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,point,NA,3.2
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.55,4.0
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.60,4.359999999999999
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.65,4.800000000000001
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.70,5.019999999999997
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.75,6.0
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.80,6.4
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.85,7.199999999999999
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.90,8.0
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.95,9.6
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.975,10.5
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,02,quantile,0.99,11.815999999999995
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,quantile,0.01,0.0
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,quantile,0.025,0.0
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,quantile,0.05,0.0
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,quantile,0.10,0.0
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,quantile,0.15,1.5
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,quantile,0.20,1.6
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,quantile,0.25,2.35
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,quantile,0.30,2.6
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,quantile,0.35,2.8
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,quantile,0.40,3.0
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,quantile,0.45,3.2
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,quantile,0.50,3.3000000000000003
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,02,point,NA,3.3000000000000003
