forecast_date,target,target_end_date,quantile,type,location,value
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,,point,US,976.4300000000001
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.01,quantile,US,192.22
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.025,quantile,US,268.05
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.05,quantile,US,339.22
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.1,quantile,US,448.97
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.15,quantile,US,530.7800000000001
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.2,quantile,US,600.62
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.25,quantile,US,672.79
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.3,quantile,US,723.34
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.35,quantile,US,788.86
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.4,quantile,US,848.3900000000001
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.45,quantile,US,906.59
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.5,quantile,US,976.4300000000001
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.55,quantile,US,1036.63
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.6,quantile,US,1108.13
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.65,quantile,US,1181.63
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.7,quantile,US,1261.78
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.75,quantile,US,1358.89
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.8,quantile,US,1463.65
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.85,quantile,US,1588.7
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.9,quantile,US,1768.2900000000002
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.95,quantile,US,2037.01
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.975,quantile,US,2303.4
2023-04-10,1 wk ahead inc flu hosp,2023-04-15,0.99,quantile,US,2623.67
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,,point,US,891.3100000000001
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.01,quantile,US,173.60000000000002
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.025,quantile,US,236.13
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.05,quantile,US,311.29
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.1,quantile,US,402.75
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.15,quantile,US,474.92
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.2,quantile,US,550.08
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.25,quantile,US,605.29
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.3,quantile,US,662.49
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.35,quantile,US,719.7
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.4,quantile,US,771.25
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.45,quantile,US,830.78
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.5,quantile,US,891.3100000000001
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.55,quantile,US,949.1800000000001
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.6,quantile,US,1011.0400000000001
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.65,quantile,US,1077.22
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.7,quantile,US,1158.0400000000002
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.75,quantile,US,1239.19
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.8,quantile,US,1334.64
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.85,quantile,US,1458.69
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.9,quantile,US,1621.9900000000002
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.95,quantile,US,1873.42
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.975,quantile,US,2111.88
2023-04-10,2 wk ahead inc flu hosp,2023-04-22,0.99,quantile,US,2413.86
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,,point,US,831.46
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.01,quantile,US,156.31
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.025,quantile,US,221.5
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.05,quantile,US,287.35
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.1,quantile,US,377.48
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.15,quantile,US,446.99
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.2,quantile,US,506.19000000000005
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.25,quantile,US,565.39
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.3,quantile,US,613.28
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.35,quantile,US,671.82
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.4,quantile,US,729.02
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.45,quantile,US,773.59
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.5,quantile,US,831.46
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.55,quantile,US,891.99
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.6,quantile,US,947.2
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.65,quantile,US,1010.72
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.7,quantile,US,1075.5800000000002
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.75,quantile,US,1162.38
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.8,quantile,US,1254.8400000000001
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.85,quantile,US,1366.92
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.9,quantile,US,1523.9
2023-04-10,3 wk ahead inc flu hosp,2023-04-29,0.95,quantile,US,1760.3700000000001
