forecast_date,target,target_end_date,type,quantile,value,location,count_rate1per100k,count_rate2per100k
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,2300.151230113067,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,2852.6053721852795,06,392,785
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,1782.8328415462106,06,392,785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,1376.023673898216,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,212.0748572082998,08,58,116
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,208.25623658943658,08,58,116
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,178.46314355397254,08,58,116
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,155.2483339072773,08,58,116
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,415.536555438086,09,36,72
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,451.08535606897726,09,36,72
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,415.8815200677814,09,36,72
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,324.76674620571316,09,36,72
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,235.79455039000143,13,108,216
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,221.79625956133322,13,108,216
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,243.2571595164684,13,108,216
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,188.9395528268255,13,108,216
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,294.8453668301283,24,62,123
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,282.1029513312718,24,62,123
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,234.39973150951423,24,62,123
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,195.25362984392348,24,62,123
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,349.6010507464008,26,101,201
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,341.37931195684365,26,101,201
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,346.2068237023729,26,101,201
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,279.3962614675289,26,101,201
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,319.970326534901,27,57,114
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,301.33417440767766,27,57,114
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,263.1221460548146,27,57,114
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,240.39688781948962,27,57,114
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,319.39270666722075,35,21,42
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,296.37111428143965,35,21,42
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,253.57205256881284,35,21,42
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,214.82788373513768,35,21,42
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,1128.0382755104115,36,198,397
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,894.8447665532949,36,198,397
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,791.0879328703832,36,198,397
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,583.7442295894507,36,198,397
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,1118.4597843106242,39,118,236
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,1466.8117282980852,39,118,236
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,2008.4744183642383,39,118,236
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,921.8853226866913,39,118,236
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,449.0143800756908,41,42,85
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,372.22321562285686,41,42,85
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,325.75135093142524,41,42,85
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,275.62382374967774,41,42,85
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,526.9467487192261,47,70,140
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,577.3342273880891,47,70,140
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,538.7137566709232,47,70,140
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,371.95623974262435,47,70,140
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,point,NA,25307.46774839994,US,3319,6638
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,point,NA,23359.4538257045,US,3319,6638
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,point,NA,23268.613721419486,US,3319,6638
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,point,NA,15963.890271294724,US,3319,6638
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.01,126.30550461906189,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.025,330.37229086143805,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.05,959.091640220172,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.1,1318.7073573509715,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.15,1597.36974191346,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.2,1823.7178022708104,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.25,2005.35725109267,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.3,2170.8437977428816,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.35,2267.8076816559983,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.4,2287.2028769464523,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.45,2295.9637233201966,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.5,2300.151230113067,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.55,2304.584149646325,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.6,2367.279570020057,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.65,2419.718101954343,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.7,2567.424765240732,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.75,2795.8251231619124,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.8,3172.1103681957993,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.85,3437.422435762209,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.9,4494.946756963234,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.95,5667.129465264412,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.975,7569.446922929431,06,392,785
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,quantile,0.99,9824.754396877639,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.01,214.9805050819448,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.025,451.293069372326,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.05,893.662534294723,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.1,1378.5079795240276,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.15,1730.1249548253315,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.2,1950.0975123181938,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.25,2225.7421959343765,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.3,2412.087784765511,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.35,2584.736759165228,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.4,2729.198422524536,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.45,2774.315376075661,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.5,2852.6053721852795,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.55,2955.939806754296,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.6,3146.377769465093,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.65,3381.259699254402,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.7,3571.3249886710923,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.75,3914.9777572348416,06,392,785
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,quantile,0.8,4482.269891466765,06,392,785
