forecast_date,target,target_end_date,type,quantile,value,location
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,1259.7983554764023,06
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,963.0162482573247,06
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,730.6707575589837,06
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,506.51765693295886,06
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,299.05433664090145,08
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,257.0710441167965,08
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,232.4534407623825,08
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,210.79450492787794,08
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,254.92138144962465,09
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,204.8499759243429,09
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,167.45384681848657,09
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,163.6423833987999,09
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,174.27161102204224,13
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,124.72420027658171,13
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,114.92833574410491,13
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,139.81948896457965,13
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,207.42133424724707,24
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,203.69596485670525,24
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,186.19271629727217,24
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,166.3372847996111,24
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,543.1761217528608,26
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,481.36971788585305,26
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,438.9930099323258,26
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,348.48769578314875,26
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,168.5928409808522,27
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,158.26179971507034,27
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,164.54841389740722,27
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,141.61023897083035,27
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,216.35114530167297,35
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,189.9225159884826,35
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,169.40654951969327,35
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,149.6407720153363,35
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,1354.0815998035878,36
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,1036.5537602947002,36
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,893.3538888180408,36
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,626.169206938396,36
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,1424.4033139943615,39
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,654.2401328441726,39
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,364.71402964145295,39
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,259.95690801201874,39
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,419.0136480463611,41
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,355.1319728711291,41
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,257.04184681591755,41
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,193.1387043352027,41
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,292.03323063738384,47
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,197.20892764236498,47
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,157.3205805619267,47
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,113.62228493872479,47
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,point,NA,19918.77541582534,US
2022-12-26,2 wk ahead inc flu hosp,2023-01-07,point,NA,12144.701120020218,US
2022-12-26,3 wk ahead inc flu hosp,2023-01-14,point,NA,8305.747682502593,US
2022-12-26,4 wk ahead inc flu hosp,2023-01-21,point,NA,5342.174313666428,US
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,quantile,0.01,147.9822512314113,06
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,quantile,0.025,182.57601450791566,06
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,quantile,0.05,537.1541733167217,06
2022-12-26,1 wk ahead inc flu hosp,2022-12-31,quantile,0.1,670.7008117363089,06
