"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.01","1808.93344679171"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.025","2009.08720377546"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.05","2180.41415188729"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.1","2366.48289411728"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.15","2480.28981045514"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.2","2578.30615397319"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.25","2654.45760073899"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.3","2725.67555373416"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.35","2794.23858312923"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.4","2857.33228695177"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.45","2919.78691530478"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.5","2982.49150451723"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.55","3051.72668209356"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.6","3117.42513048593"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.65","3189.46081104262"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.7","3271.00835238551"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.75","3369.47952617467"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.8","3486.41983892156"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.85","3638.40641388745"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.9","3821.351364102"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.95","4081.06106483381"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.975","4366.26317996522"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","quantile","0.99","4652.38861341654"
"2022-03-21","1 wk ahead inc flu hosp","2022-03-26","US","point",NA,"2982.49150451723"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.01","1959.49099672642"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.025","2125.56241445666"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.05","2272.87575224939"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.1","2434.24753164563"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.15","2554.53764992828"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.2","2645.75260407288"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.25","2726.3276626353"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.3","2802.77946950314"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.35","2874.15465137527"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.4","2946.97284752616"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.45","3019.0285093593"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.5","3097.41477759491"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.55","3190.56775392667"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.6","3305.30382544608"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.65","3452.6091215988"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.7","3597.8515901195"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.75","3751.37771133363"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.8","3893.04949709662"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.85","4067.94469808729"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.9","4282.08415373649"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.95","4584.39645524767"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.975","4893.54983407379"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","quantile","0.99","5232.2500814032"
"2022-03-21","2 wk ahead inc flu hosp","2022-04-02","US","point",NA,"3097.41477759491"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.01","2004.49003300758"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.025","2137.40035103948"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.05","2267.73496243826"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.1","2432.22898554608"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.15","2543.8967630472"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.2","2635.56152187175"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.25","2717.9390981429"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.3","2796.01044913124"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.35","2869.70937970832"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.4","2957.94106668285"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.45","3049.78197542153"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.5","3178.37489369724"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.55","3436.83732097925"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.6","3670.32802358837"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.65","3855.70904645173"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.7","4018.0936215476"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.75","4203.95521342497"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.8","4380.58216815955"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.85","4579.08017260891"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.9","4818.75615508029"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.95","5136.20138320291"
"2022-03-21","3 wk ahead inc flu hosp","2022-04-09","US","quantile","0.975","5495.67302008421"
