forecast_date,target,target_end_date,location,type,quantile,value
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.010,285
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.025,295
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.050,303
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.100,313
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.150,320
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.200,326
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.250,330
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.300,335
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.350,339
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.400,342
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.450,346
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.500,350
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.550,353
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.600,357
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.650,361
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.700,365
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.750,370
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.800,375
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.850,381
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.900,388
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.950,400
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.975,410
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,quantile,0.990,421
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,01,point,NA,350
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.010,64
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.025,69
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.050,74
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.100,80
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.150,84
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.200,88
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.250,91
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.300,94
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.350,96
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.400,99
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.450,101
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.500,103
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.550,106
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.600,108
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.650,111
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.700,114
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.750,117
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.800,120
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.850,124
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.900,130
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.950,138
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.975,145
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,quantile,0.990,154
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,02,point,NA,104
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.010,1087
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.025,1112
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.050,1133
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.100,1157
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.150,1174
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.200,1188
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.250,1199
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.300,1210
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.350,1220
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.400,1229
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.450,1238
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.500,1247
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.550,1256
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.600,1265
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.650,1275
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.700,1285
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.750,1296
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.800,1308
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.850,1322
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.900,1340
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.950,1368
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.975,1392
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,quantile,0.990,1420
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,04,point,NA,1247
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.010,503
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.025,518
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.050,531
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.100,547
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.150,557
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.200,566
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.250,573
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.300,580
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.350,586
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.400,592
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.450,598
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.500,603
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.550,609
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.600,615
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.650,621
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.700,627
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.750,634
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.800,642
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.850,651
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.900,663
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.950,681
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.975,696
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,quantile,0.990,714
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,05,point,NA,603
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,06,quantile,0.010,3646
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,06,quantile,0.025,3688
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,06,quantile,0.050,3725
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,06,quantile,0.100,3768
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,06,quantile,0.150,3797
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,06,quantile,0.200,3820
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,06,quantile,0.250,3840
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,06,quantile,0.300,3858
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,06,quantile,0.350,3875
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,06,quantile,0.400,3891
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,06,quantile,0.450,3906
2022-12-05,1 wk ahead inc flu hosp,2022-12-10,06,quantile,0.500,3921
