forecast_date,target,target_end_date,location,type,quantile,value
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,point,NA,29
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,point,NA,29
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,point,NA,28
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,point,NA,23
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.010,10
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.010,10
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.010,7
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.010,1
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.025,13
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.025,13
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.025,10
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.025,5
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.050,16
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.050,15
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.050,13
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.050,7
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.100,19
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.100,18
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.100,16
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.100,11
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.150,21
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.150,20
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.150,18
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.150,13
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.200,22
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.200,22
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.200,20
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.200,15
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.250,24
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.250,23
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.250,21
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.250,16
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.300,25
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.300,25
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.300,23
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.300,18
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.350,26
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.350,26
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.350,24
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.350,19
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.400,27
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.400,27
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.400,25
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.400,20
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.450,28
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.450,28
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.450,26
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.450,21
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.500,29
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.500,29
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.500,28
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.500,23
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.550,30
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.550,30
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.550,29
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.550,24
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.600,31
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.600,31
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.600,30
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.600,25
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.650,32
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.650,32
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.650,31
2022-04-11,4 wk ahead inc flu hosp,2022-05-07,01,quantile,0.650,26
2022-04-11,1 wk ahead inc flu hosp,2022-04-16,01,quantile,0.700,33
2022-04-11,2 wk ahead inc flu hosp,2022-04-23,01,quantile,0.700,33
2022-04-11,3 wk ahead inc flu hosp,2022-04-30,01,quantile,0.700,32
