"target","location","forecast_date","target_end_date","quantile","value","type"
"1 wk ahead inc flu hosp","02",2023-05-08,2023-05-13,"0.010",0,"quantile"
"2 wk ahead inc flu hosp","02",2023-05-08,2023-05-20,"0.010",0,"quantile"
"3 wk ahead inc flu hosp","02",2023-05-08,2023-05-27,"0.010",0,"quantile"
"4 wk ahead inc flu hosp","02",2023-05-08,2023-06-03,"0.010",0,"quantile"
"1 wk ahead inc flu hosp","02",2023-05-08,2023-05-13,"0.025",0,"quantile"
"2 wk ahead inc flu hosp","02",2023-05-08,2023-05-20,"0.025",0,"quantile"
"3 wk ahead inc flu hosp","02",2023-05-08,2023-05-27,"0.025",0,"quantile"
"4 wk ahead inc flu hosp","02",2023-05-08,2023-06-03,"0.025",0,"quantile"
"1 wk ahead inc flu hosp","02",2023-05-08,2023-05-13,"0.050",0,"quantile"
"2 wk ahead inc flu hosp","02",2023-05-08,2023-05-20,"0.050",0,"quantile"
"3 wk ahead inc flu hosp","02",2023-05-08,2023-05-27,"0.050",0,"quantile"
"4 wk ahead inc flu hosp","02",2023-05-08,2023-06-03,"0.050",0,"quantile"
"1 wk ahead inc flu hosp","02",2023-05-08,2023-05-13,"0.100",0,"quantile"
"2 wk ahead inc flu hosp","02",2023-05-08,2023-05-20,"0.100",0,"quantile"
"3 wk ahead inc flu hosp","02",2023-05-08,2023-05-27,"0.100",0,"quantile"
"4 wk ahead inc flu hosp","02",2023-05-08,2023-06-03,"0.100",0,"quantile"
"1 wk ahead inc flu hosp","02",2023-05-08,2023-05-13,"0.150",0,"quantile"
"2 wk ahead inc flu hosp","02",2023-05-08,2023-05-20,"0.150",0,"quantile"
"3 wk ahead inc flu hosp","02",2023-05-08,2023-05-27,"0.150",0,"quantile"
"4 wk ahead inc flu hosp","02",2023-05-08,2023-06-03,"0.150",0,"quantile"
"1 wk ahead inc flu hosp","02",2023-05-08,2023-05-13,"0.200",0,"quantile"
"2 wk ahead inc flu hosp","02",2023-05-08,2023-05-20,"0.200",0,"quantile"
"3 wk ahead inc flu hosp","02",2023-05-08,2023-05-27,"0.200",0,"quantile"
"4 wk ahead inc flu hosp","02",2023-05-08,2023-06-03,"0.200",0,"quantile"
"1 wk ahead inc flu hosp","02",2023-05-08,2023-05-13,"0.250",0.25,"quantile"
"2 wk ahead inc flu hosp","02",2023-05-08,2023-05-20,"0.250",0,"quantile"
"3 wk ahead inc flu hosp","02",2023-05-08,2023-05-27,"0.250",0,"quantile"
"4 wk ahead inc flu hosp","02",2023-05-08,2023-06-03,"0.250",0,"quantile"
"1 wk ahead inc flu hosp","02",2023-05-08,2023-05-13,"0.300",1,"quantile"
"2 wk ahead inc flu hosp","02",2023-05-08,2023-05-20,"0.300",0,"quantile"
"3 wk ahead inc flu hosp","02",2023-05-08,2023-05-27,"0.300",0,"quantile"
"4 wk ahead inc flu hosp","02",2023-05-08,2023-06-03,"0.300",0,"quantile"
"1 wk ahead inc flu hosp","02",2023-05-08,2023-05-13,"0.350",1,"quantile"
"2 wk ahead inc flu hosp","02",2023-05-08,2023-05-20,"0.350",0.450000000000001,"quantile"
"3 wk ahead inc flu hosp","02",2023-05-08,2023-05-27,"0.350",0.15,"quantile"
"4 wk ahead inc flu hosp","02",2023-05-08,2023-06-03,"0.350",1,"quantile"
"1 wk ahead inc flu hosp","02",2023-05-08,2023-05-13,"0.400",1,"quantile"
"2 wk ahead inc flu hosp","02",2023-05-08,2023-05-20,"0.400",3,"quantile"
"3 wk ahead inc flu hosp","02",2023-05-08,2023-05-27,"0.400",1,"quantile"
"4 wk ahead inc flu hosp","02",2023-05-08,2023-06-03,"0.400",1.6,"quantile"
"1 wk ahead inc flu hosp","02",2023-05-08,2023-05-13,"0.450",2,"quantile"
