"forecast_date","target","target_end_date","location","type","quantile","value"
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.01,1032.8791823391
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.01,506.739764832937
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.01,243.882885692615
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.01,116.073911814966
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.025,1422.75034322225
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.025,748.138671459115
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.025,388.76186791905
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.025,200.628773797269
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.05,1680.2360550363
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.05,915.941642767522
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.05,495.300787420652
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.05,266.587462059601
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.1,1902.89111475171
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.1,1065.65034120963
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.1,593.687279764848
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.1,329.753588340878
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.15,2020.72490549712
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.15,1146.45904292332
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.15,647.962836696137
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.15,365.407709052215
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.2,2101.43685013653
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.2,1202.40581426784
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.2,685.986854516851
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.2,390.69958759142
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.25,2164.08046272049
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.25,1246.15108995815
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.25,715.962628964639
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.25,410.811154790118
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.3,2216.59093580065
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.3,1283.03241087722
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.3,741.396738939282
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.3,427.990880252546
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.35,2263.0619518308
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.35,1315.83019511504
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.35,764.13611392638
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.35,443.437411779888
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.4,2305.95603056598
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.4,1346.23327754817
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.4,785.315142506473
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.4,457.896033418141
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.45,2346.96986807255
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.45,1375.41845106418
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.45,805.734560053877
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.45,471.900351087464
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.5,2387.4469050556
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.5,1404.3301441607
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.5,826.046916319796
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.5,485.892516655514
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.55,2428.62202962181
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.55,1433.84956939653
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.55,846.871341742891
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.55,500.299559425567
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.6,2471.8176100958
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.6,1464.93418836756
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.6,868.891316400181
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.6,515.600748884921
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.65,2518.66844380836
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.65,1498.78241213791
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.65,892.973771983227
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.65,532.412312245362
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.7,2571.47254028661
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.7,1537.09535088833
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.7,920.362165252695
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.7,551.627496367486
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.75,2633.868205295
2023-01-23,"2 wk ahead inc flu hosp",2023-02-04,"US","quantile",0.75,1582.58751261427
2023-01-23,"3 wk ahead inc flu hosp",2023-02-11,"US","quantile",0.75,953.057436738288
2023-01-23,"4 wk ahead inc flu hosp",2023-02-18,"US","quantile",0.75,574.696025141885
2023-01-23,"1 wk ahead inc flu hosp",2023-01-28,"US","quantile",0.8,2712.38354085647
