"forecast_date","target","target_end_date","location","type","quantile","value"
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","point",NA,35
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.01,7
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.025,8
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.05,10
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.1,14
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.15,17
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.2,21
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.25,24
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.3,26
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.35,26
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.4,28
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.45,31
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.5,35
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.55,38
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.6,42
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.65,45
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.7,48
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.75,53
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.8,56
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.85,61
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.9,65
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.95,72
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.975,78
2022-03-07,"1 wk ahead inc flu hosp",2022-03-12,"01","quantile",0.99,84
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","point",NA,37
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.01,1
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.025,3
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.05,5
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.1,9
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.15,15
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.2,19
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.25,22
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.3,25
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.35,28
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.4,32
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.45,35
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.5,37
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.55,41
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.6,48
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.65,52
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.7,60
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.75,68
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.8,75
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.85,82
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.9,91
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.95,104
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.975,114
2022-03-07,"2 wk ahead inc flu hosp",2022-03-19,"01","quantile",0.99,126
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","point",NA,38
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.01,0
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.025,0
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.05,3
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.1,8
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.15,14
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.2,18
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.25,21
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.3,24
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.35,28
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.4,34
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.45,35
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.5,38
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.55,44
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.6,53
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.65,59
2022-03-07,"3 wk ahead inc flu hosp",2022-03-26,"01","quantile",0.7,69
