"target","location","forecast_date","target_end_date","quantile","value","type"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.01,0,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.01,0,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.01,0,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.01,0,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.025,0,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.025,0,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.025,0,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.025,0,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.05,0,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.05,0,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.05,0,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.05,0,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.1,0,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.1,0,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.1,0,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.1,0,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.15,0,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.15,0,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.15,0,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.15,0,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.2,1,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.2,1,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.2,0,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.2,0,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.25,2,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.25,1,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.25,1,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.25,0,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.3,2,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.3,2,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.3,1,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.3,1,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.35,3,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.35,3,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.35,2,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.35,1,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.4,4,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.4,3,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.4,3,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.4,2,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.45,5,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.45,4,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.45,4,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.45,3,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.5,6,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.5,5,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.5,5,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.5,5,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.55,7,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.55,7,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.55,7,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.55,6,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.6,8,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.6,8,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.6,8,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.6,8.40000000000055,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.65,9,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.65,10,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.65,10,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.65,11,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.7,10,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.7,11,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.7,13,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.7,15,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.75,12,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.75,14,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.75,16,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.75,20,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.8,14,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.8,16.2000000000003,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.8,21,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.8,26,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.85,16,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.85,20,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.85,27,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.85,34,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.9,20,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.9,26,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.9,35,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.9,47,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.95,25,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.95,36,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.95,51,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.95,74,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.975,31,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.975,46,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.975,71,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.975,103.025,"quantile"
"1 wk ahead inc flu hosp","02",2022-03-07,2022-03-12,0.99,40,"quantile"
"2 wk ahead inc flu hosp","02",2022-03-07,2022-03-19,0.99,61,"quantile"
"3 wk ahead inc flu hosp","02",2022-03-07,2022-03-26,0.99,102.01,"quantile"
"4 wk ahead inc flu hosp","02",2022-03-07,2022-04-02,0.99,156,"quantile"
"1 wk ahead inc flu hosp","01",2022-03-07,2022-03-12,0.01,8,"quantile"
"2 wk ahead inc flu hosp","01",2022-03-07,2022-03-19,0.01,7,"quantile"
"3 wk ahead inc flu hosp","01",2022-03-07,2022-03-26,0.01,5,"quantile"
"4 wk ahead inc flu hosp","01",2022-03-07,2022-04-02,0.01,4,"quantile"
"1 wk ahead inc flu hosp","01",2022-03-07,2022-03-12,0.025,13,"quantile"
"2 wk ahead inc flu hosp","01",2022-03-07,2022-03-19,0.025,12,"quantile"
"3 wk ahead inc flu hosp","01",2022-03-07,2022-03-26,0.025,11,"quantile"
"4 wk ahead inc flu hosp","01",2022-03-07,2022-04-02,0.025,11,"quantile"
"1 wk ahead inc flu hosp","01",2022-03-07,2022-03-12,0.05,17,"quantile"
"2 wk ahead inc flu hosp","01",2022-03-07,2022-03-19,0.05,18,"quantile"
"3 wk ahead inc flu hosp","01",2022-03-07,2022-03-26,0.05,18.95,"quantile"
"4 wk ahead inc flu hosp","01",2022-03-07,2022-04-02,0.05,18,"quantile"
"1 wk ahead inc flu hosp","01",2022-03-07,2022-03-12,0.1,22,"quantile"
"2 wk ahead inc flu hosp","01",2022-03-07,2022-03-19,0.1,25,"quantile"
"3 wk ahead inc flu hosp","01",2022-03-07,2022-03-26,0.1,28,"quantile"
"4 wk ahead inc flu hosp","01",2022-03-07,2022-04-02,0.1,30,"quantile"
"1 wk ahead inc flu hosp","01",2022-03-07,2022-03-12,0.15,26,"quantile"
"2 wk ahead inc flu hosp","01",2022-03-07,2022-03-19,0.15,31,"quantile"
"3 wk ahead inc flu hosp","01",2022-03-07,2022-03-26,0.15,35,"quantile"
"4 wk ahead inc flu hosp","01",2022-03-07,2022-04-02,0.15,39,"quantile"
"1 wk ahead inc flu hosp","01",2022-03-07,2022-03-12,0.2,29,"quantile"
"2 wk ahead inc flu hosp","01",2022-03-07,2022-03-19,0.2,35,"quantile"
"3 wk ahead inc flu hosp","01",2022-03-07,2022-03-26,0.2,42,"quantile"
"4 wk ahead inc flu hosp","01",2022-03-07,2022-04-02,0.2,48,"quantile"
"1 wk ahead inc flu hosp","01",2022-03-07,2022-03-12,0.25,32,"quantile"
"2 wk ahead inc flu hosp","01",2022-03-07,2022-03-19,0.25,40,"quantile"
"3 wk ahead inc flu hosp","01",2022-03-07,2022-03-26,0.25,48,"quantile"
"4 wk ahead inc flu hosp","01",2022-03-07,2022-04-02,0.25,58,"quantile"
"1 wk ahead inc flu hosp","01",2022-03-07,2022-03-12,0.3,35,"quantile"
