location,forecast_date,target_end_date,target,type,quantile,value
01,2022-05-30,2022-06-04,1 wk ahead inc flu hosp,point,,18.628271259610948
01,2022-05-30,2022-06-11,2 wk ahead inc flu hosp,point,,23.425539779164325
01,2022-05-30,2022-06-18,3 wk ahead inc flu hosp,point,,20.374036918960183
01,2022-05-30,2022-06-25,4 wk ahead inc flu hosp,point,,20.719688692890532
02,2022-05-30,2022-06-04,1 wk ahead inc flu hosp,point,,3.141700706840888
02,2022-05-30,2022-06-11,2 wk ahead inc flu hosp,point,,1.3570070722550724
02,2022-05-30,2022-06-18,3 wk ahead inc flu hosp,point,,2.22712369929342
02,2022-05-30,2022-06-25,4 wk ahead inc flu hosp,point,,1.3975448202229468
04,2022-05-30,2022-06-04,1 wk ahead inc flu hosp,point,,91.07182409808159
04,2022-05-30,2022-06-11,2 wk ahead inc flu hosp,point,,90.73897567098729
04,2022-05-30,2022-06-18,3 wk ahead inc flu hosp,point,,90.40758480627424
04,2022-05-30,2022-06-25,4 wk ahead inc flu hosp,point,,90.07764426148924
05,2022-05-30,2022-06-04,1 wk ahead inc flu hosp,point,,15.815956802368165
05,2022-05-30,2022-06-11,2 wk ahead inc flu hosp,point,,14.71495442390442
05,2022-05-30,2022-06-18,3 wk ahead inc flu hosp,point,,14.740958919525148
05,2022-05-30,2022-06-25,4 wk ahead inc flu hosp,point,,13.834850845336915
06,2022-05-30,2022-06-04,1 wk ahead inc flu hosp,point,,384.4848272178834
06,2022-05-30,2022-06-11,2 wk ahead inc flu hosp,point,,379.1859395856375
06,2022-05-30,2022-06-18,3 wk ahead inc flu hosp,point,,374.8749416035674
06,2022-05-30,2022-06-25,4 wk ahead inc flu hosp,point,,369.91582029781296
08,2022-05-30,2022-06-04,1 wk ahead inc flu hosp,point,,131.6868466658583
08,2022-05-30,2022-06-11,2 wk ahead inc flu hosp,point,,120.45937741911537
08,2022-05-30,2022-06-18,3 wk ahead inc flu hosp,point,,122.91901776108931
08,2022-05-30,2022-06-25,4 wk ahead inc flu hosp,point,,133.51249118242362
09,2022-05-30,2022-06-04,1 wk ahead inc flu hosp,point,,58.56641101134029
09,2022-05-30,2022-06-11,2 wk ahead inc flu hosp,point,,53.413059919043576
