forecast_date,target,target_end_date,location,type,quantile,value
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,point,NA,4.8705339431762695
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.010,1.5699663352966309
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.025,1.8686021625995637
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.050,2.431190037727356
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.100,2.9021243333816527
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.150,3.1639527797698976
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.200,3.424878787994385
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.250,3.625231385231018
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.300,3.746960973739624
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.350,3.9224158644676206
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.400,4.2503711700439455
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.450,4.455936288833619
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.500,4.624477863311768
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.550,4.913546872138977
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.600,5.099989032745361
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.650,5.426067471504211
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.700,5.695730638504028
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.750,5.956392407417297
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.800,6.319373226165772
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.850,6.65725677013397
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.900,7.469893789291383
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.950,8.23404803276062
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.975,8.463531756401059
2023-01-02,1 wk ahead inc flu hosp,2023-01-07,02,quantile,0.990,9.251358757019045
2023-01-02,2 wk ahead inc flu hosp,2023-01-14,02,point,NA,3.3726181983947754
